ID,Spanish,Portuguese
218,PASTOR POLACO DE PODHALE,PASTOR POLACO DE PODHALE
219,PASTOR VASCO,PASTOR VASCO
221,PEQUEÑO SABUESO AZUL GASCUÑA,PEQUEÑO SABUESO AZUL GASCUÑA
222,PEQUINES,PEQUINES
223,PERDIGUERO DE BURGOS,PERDIGUERO DE BURGOS
224,PERDIGUERO PORTUGUES,PERDIGUERO PORTUGUES
225,PERU SIN PELO,PERU SIN PELO
226,PETIT BASSET GRIFFON VENDEEN,PETIT BASSET GRIFFON VENDEEN
227,PETIT CHIEN LION,PETIT CHIEN LION
228,PETIT GASCON SAINTONGEOIS,PETIT GASCON SAINTONGEOIS
229,PETIT GRABANÇON,PETIT GRABANÇON
230,PINSCHER,PINSCHER
231,PINSCHER ENANO,PINSCHER ENANO
232,PITBULL AMERICANO,PITBULL AMERICANO
233,PODENCO ANDALUZ,PODENCO ANDALUZ
234,PODENCO CANARIO,PODENCO CANARIO
235,PODENCO DE LOS FARAONES,PODENCO DE LOS FARAONES
236,PODENCO IBICENCO,PODENCO IBICENCO
237,PODENCO PORTUGUES,PODENCO PORTUGUES
238,POINTER,POINTER
239,POMERANIA,POMERANIA
241,PORCELAINE,PORCELAINE
242,PRESA CANARIO,PRESA CANARIO
243,PRESA MALLORQUIN,PRESA MALLORQUIN
244,PULI,PULI
245,PUMI,PUMI
246,RATONERO,RATONERO
247,RETRIEVER DEL LABRADOR,RETRIEVER DEL LABRADOR
248,RHODESIAN RIDGEBACK,RHODESIAN RIDGEBACK
249,ROTTWEILER,ROTTWEILER
250,SABUESO DE SANGRE DE BAVIERA,SABUESO DE SANGRE DE BAVIERA
251,SABUESO ESPAÑOL,SABUESO ESPAÑOL
252,SALUKI,SALUKI
253,SAMOYEDO,SAMOYEDO
254,SAN BERNARDO,SAN BERNARDO
255,SCHIPPERKE,SCHIPPERKE
256,SCHNAUZER GIGANTE,SCHNAUZER GIGANTE
257,SCHNAUZER MEDIANO,SCHNAUZER MEDIANO
258,SCHNAUZER MINIATURA,SCHNAUZER MINIATURA
259,SCHWEIZERISCHE LAUFHUNDE CHIEN,SCHWEIZERISCHE LAUFHUNDE CHIEN
260,SCOTTISCH TERRIER,SCOTTISCH TERRIER
261,SEALYHAM TERRIER,SEALYHAM TERRIER
262,SETTER GORDON,SETTER GORDON
263,SETTER INGLES,SETTER INGLES
264,SETTER IRLANDES ROJO,SETTER IRLANDES ROJO
265,SHAR PEI,SHAR PEI
266,SHETLAND SHEEPDOG,SHETLAND SHEEPDOG
